Ticker;Ticker BBG;Name
TMO;TMO UN Equity;Thermo Fisher Scientific Inc
TIF;TIF UN Equity;Tiffany & Co
TJX;TJX UN Equity;TJX Cos Inc/The
GL;GL UN Equity;Globe Life Inc
TSS;TSS UN Equity;Total System Services Inc
EXAR;EXAR UN Equity;Exar Corp
JCI;JCI UN Equity;Johnson Controls International plc
UNP;UNP UN Equity;Union Pacific Corp
UNH;UNH UN Equity;UnitedHealth Group Inc
UNM;UNM UN Equity;Unum Group
X;X UN Equity;United States Steel Corp
VAR;VAR UN Equity;Varian Medical Systems Inc
VTR;VTR UN Equity;Ventas Inc
VFC;VFC UN Equity;VF Corp
VNO;VNO UN Equity;Vornado Realty Trust
AMRC;AMRC UN Equity;Ameresco Inc
VMC;VMC UN Equity;Vulcan Materials Co
GHC;GHC UN Equity;Graham Holdings Co
WHR;WHR UN Equity;Whirlpool Corp
WMB;WMB UN Equity;Williams Cos Inc/The
WEC;WEC UN Equity;WEC Energy Group Inc
ADBE;ADBE UW Equity;Adobe Inc
AES;AES UN Equity;AES Corp/The
AMGN;AMGN UW Equity;Amgen Inc
AAPL;AAPL UW Equity;Apple Inc
ADSK;ADSK UW Equity;Autodesk Inc
CTAS;CTAS UW Equity;Cintas Corp
CMCSA;CMCSA UW Equity;Comcast Corp
KLAC;KLAC UW Equity;KLA Corp
MKC;MKC UN Equity;McCormick & Co Inc/MD
PCAR;PCAR UW Equity;PACCAR Inc
MOD;MOD UN Equity;Modine Manufacturing Co
COST;COST UW Equity;Costco Wholesale Corp
XTLY;XTLY UN Equity;Xactly Corp
GKOS;GKOS UN Equity;Glaukos Corp
STJ;STJ UN Equity;St Jude Medical Inc
SYK;SYK UN Equity;Stryker Corp
TSN;TSN UN Equity;Tyson Foods Inc
AMAT;AMAT UW Equity;Applied Materials Inc
TWX;TWX UN Equity;Time Warner Inc
CAH;CAH UN Equity;Cardinal Health Inc
MTZ;MTZ UN Equity;MasTec Inc
CELG;CELG UW Equity;Celgene Corp
CERN;CERN UW Equity;Cerner Corp
CINF;CINF UW Equity;Cincinnati Financial Corp
DHI;DHI UN Equity;DR Horton Inc
