Ticker;Ticker BBG;Name
TNET;TNET UN Equity;TriNet Group Inc
HRTG;HRTG UN Equity;Heritage Insurance Holdings Inc
INVA;INVA UW Equity;Innoviva Inc
HURC;HURC UW Equity;Hurco Cos Inc
MWW;MWW UN Equity;Monster Worldwide Inc
IDCC;IDCC UW Equity;InterDigital Inc
JNS;JNS UN Equity;Janus Capital Group Inc
ITT;ITT UN Equity;ITT Inc
IIIN;IIIN UW Equity;Insteel Industries Inc
CPT;CPT UN Equity;Camden Property Trust
CNS;CNS UN Equity;Cohen & Steers Inc
IMGN;IMGN UW Equity;ImmunoGen Inc
IMKTA;IMKTA UW Equity;Ingles Markets Inc
IMMU;IMMU UQ Equity;Immunomedics Inc
IHC;IHC UN Equity;Independence Holding Co
MDP;MDP UN Equity;Meredith Corp
NYT;NYT UN Equity;New York Times Co/The
IONS;IONS UW Equity;Ionis Pharmaceuticals Inc
STR;STR UN Equity;Dominion Energy Questar Corp
STCN;STCN UW Equity;Steel Connect Inc
ISRL;ISRL UR Equity;Isramco Inc
ACETQ;ACETQ UW Equity;Tri Harbor Holdings Corp
KBAL;KBAL UW Equity;Kimball International Inc
WTBA;WTBA UW Equity;West BanCorp Inc
CVG;CVG UN Equity;Convergys Corp
LABL;LABL UW Equity;Multi-Color Corp
LCUT;LCUT UW Equity;Lifetime Brands Inc
MTW;MTW UN Equity;Manitowoc Co Inc/The
BDN;BDN UN Equity;Brandywine Realty Trust
LSCC;LSCC UW Equity;Lattice Semiconductor Corp
XCRA;XCRA UW Equity;Xcerra Corp
LWAY;LWAY UQ Equity;Lifeway Foods Inc
SITC;SITC UN Equity;SITE Centers Corp
LYTS;LYTS UW Equity;LSI Industries Inc
MKL;MKL UN Equity;Markel Corp
CVT;CVT UN Equity;Cvent Inc
FI;FI UN Equity;Frank's International NV
FOMX;FOMX UQ Equity;Foamix Pharmaceuticals Ltd
MBVT;MBVT UW Equity;Merchants Bancshares Inc/VT
MIDD;MIDD UW Equity;Middleby Corp/The
QLYS;QLYS UW Equity;Qualys Inc
MGEE;MGEE UW Equity;MGE Energy Inc
PLAY;PLAY UW Equity;Dave & Buster's Entertainment Inc
KATE;KATE UN Equity;Kate Spade & Co LLC
ASH;ASH UN Equity;Ashland Global Holdings Inc
GI;GI UN Equity;EndoChoice Holdings Inc
PMTS;PMTS UW Equity;CPI Card Group Inc
GGP;GGP UN Equity;Brookfield Property REIT Inc
1824906D;1824906D UN Equity;Dynegy Inc
UIS;UIS UN Equity;Unisys Corp
MGRC;MGRC UW Equity;McGrath RentCorp
CVRS;CVRS UA Equity;Corindus Vascular Robotics Inc
TEX;TEX UN Equity;Terex Corp
MTG;MTG UN Equity;MGIC Investment Corp
DDS;DDS UN Equity;Dillard's Inc
MNR;MNR UN Equity;Monmouth Real Estate Investment Corp
USPH;USPH UN Equity;US Physical Therapy Inc
MRTN;MRTN UW Equity;Marten Transport Ltd
MSEX;MSEX UW Equity;Middlesex Water Co
AGTC;AGTC UQ Equity;Applied Genetic Technologies Corp/DE
CAC;CAC UW Equity;Camden National Corp
MGPI;MGPI UW Equity;MGP Ingredients Inc
ALLE;ALLE UN Equity;Allegion plc
1812212D;1812212D UW Equity;Match Group Inc
NATR;NATR UR Equity;Nature's Sunshine Products Inc
CNXR;CNXR UQ Equity;Connecture Inc
SSP;SSP UN Equity;EW Scripps Co/The
JRVR;JRVR UW Equity;James River Group Holdings Ltd
BC;BC UN Equity;Brunswick Corp/DE
KEGXQ;KEGXQ UN Equity;Key Energy Services Inc
FOR;FOR UN Equity;Forestar Group Inc
GPX;GPX UN Equity;GP Strategies Corp
NR;NR UN Equity;Newpark Resources Inc
OFG;OFG UN Equity;OFG Bancorp
OFIX;OFIX UW Equity;Orthofix Medical Inc
SNEX;SNEX UW Equity;StoneX Group Inc
ODC;ODC UN Equity;Oil-Dri Corp of America
OLP;OLP UN Equity;One Liberty Properties Inc
OTTR;OTTR UW Equity;Otter Tail Corp
MXIM;MXIM UW Equity;Maxim Integrated Products Inc
PHX;PHX UN Equity;PHX Minerals Inc
PRK;PRK UA Equity;Park National Corp
RNST;RNST UW Equity;Renasant Corp
PKOH;PKOH UW Equity;Park-Ohio Holdings Corp
MDXG;MDXG UR Equity;MiMedx Group Inc
CTBI;CTBI UW Equity;Community Trust Bancorp Inc
LOCK;LOCK UN Equity;LifeLock Inc
FIZZ;FIZZ UW Equity;National Beverage Corp
PTC;PTC UW Equity;PTC Inc
GOOG;GOOG UW Equity;Alphabet Inc
NAV;NAV UN Equity;Navistar International Corp
PF;PF UN Equity;Pinnacle Foods Inc
LPX;LPX UN Equity;Louisiana-Pacific Corp
RAVN;RAVN UW Equity;Raven Industries Inc
DORM;DORM UW Equity;Dorman Products Inc
CTB;CTB UN Equity;Cooper Tire & Rubber Co
REXI;REXI UW Equity;Resource America Inc
AMPH;AMPH UW Equity;Amphastar Pharmaceuticals Inc
CMT;CMT UA Equity;Core Molding Technologies Inc
JBSS;JBSS UW Equity;John B Sanfilippo & Son Inc
SGA;SGA UA Equity;Saga Communications Inc
TWOU;TWOU UW Equity;2U Inc
PDFS;PDFS UW Equity;PDF Solutions Inc
EVDY;EVDY UN Equity;Everyday Health Inc
LSTR;LSTR UW Equity;Landstar System Inc
RGEN;RGEN UW Equity;Repligen Corp
OUT;OUT UN Equity;Outfront Media Inc
SBCF;SBCF UW Equity;Seacoast Banking Corp of Florida
SCLN;SCLN UW Equity;SciClone Pharmaceuticals Inc
SEB;SEB UA Equity;Seaboard Corp
SGC;SGC UQ Equity;Superior Group of Cos Inc
SJW;SJW UN Equity;SJW Group
CRMT;CRMT UW Equity;America's Car-Mart Inc/TX
SPNC;SPNC UW Equity;Spectranetics Corp/The
SRCE;SRCE UW Equity;1st Source Corp
STAA;STAA UQ Equity;STAAR Surgical Co
STFC;STFC UW Equity;State Auto Financial Corp
WSFS;WSFS UW Equity;WSFS Financial Corp
AEGR;AEGR UW Equity;Aegerion Pharmaceuticals Inc
BCOV;BCOV UW Equity;Brightcove Inc
1624250D;1624250D UW Equity;Bazaarvoice Inc
CKEC;CKEC UW Equity;Carmike Cinemas Inc
CCXI;CCXI UW Equity;ChemoCentryx Inc
CNBKA;CNBKA UW Equity;Century Bancorp Inc/MA
TRC;TRC UN Equity;Tejon Ranch Co
HCOM;HCOM UW Equity;Hawaiian Telcom Holdco Inc
LIOX;LIOX UW Equity;Lionbridge Technologies Inc
CASC;CASC UW Equity;Cascadian Therapeutics Inc
PCRX;PCRX UW Equity;Pacira BioSciences Inc
UAM;UAM UN Equity;Universal American Corp
REGI;REGI UW Equity;Renewable Energy Group Inc
SGMO;SGMO UW Equity;Sangamo Therapeutics Inc
SPSC;SPSC UW Equity;SPS Commerce Inc
TTSH;TTSH UW Equity;Tile Shop Holdings Inc
USM;USM UN Equity;United States Cellular Corp
UTL;UTL UN Equity;Unitil Corp
NTK;NTK UW Equity;Nortek Inc
MSGN;MSGN UN Equity;MSG Networks Inc
VLGEA;VLGEA UW Equity;Village Super Market Inc
VSEC;VSEC UW Equity;VSE Corp
WASH;WASH UW Equity;Washington Trust Bancorp Inc
WEYS;WEYS UW Equity;Weyco Group Inc
ACRE;ACRE UN Equity;Ares Commercial Real Estate Corp
WSBC;WSBC UW Equity;WesBanco Inc
CR;CR UN Equity;Crane Co
DLX;DLX UN Equity;Deluxe Corp
WOR;WOR UN Equity;Worthington Industries Inc
DDD;DDD UN Equity;3D Systems Corp
ANIP;ANIP UQ Equity;ANI Pharmaceuticals Inc
OPY;OPY UN Equity;Oppenheimer Holdings Inc
BMCH;BMCH UW Equity;BMC Stock Holdings Inc
FTK;FTK UN Equity;Flotek Industries Inc
TUP;TUP UN Equity;Tupperware Brands Corp
RTKHQ;RTKHQ UR Equity;Rentech Inc
BERY;BERY UN Equity;Berry Global Group Inc
MDRIQ;MDRIQ UN Equity;McDermott International Inc
AMBA;AMBA UW Equity;Ambarella Inc
EHC;EHC UN Equity;Encompass Health Corp
KAI;KAI UN Equity;Kadant Inc
FLO;FLO UN Equity;Flowers Foods Inc
EXTN;EXTN UN Equity;Exterran Corp
RGLS;RGLS UQ Equity;Regulus Therapeutics Inc
IRMD;IRMD UR Equity;iRadimed Corp
RAMP;RAMP UW Equity;LiveRamp Holdings Inc
BGGSQ;BGGSQ UN Equity;Briggs & Stratton Corp
RCL;RCL UN Equity;Royal Caribbean Cruises Ltd
VSTM;VSTM UQ Equity;Verastem Inc
LGND;LGND UQ Equity;Ligand Pharmaceuticals Inc
LII;LII UN Equity;Lennox International Inc
CCK;CCK UN Equity;Crown Holdings Inc
GRA;GRA UN Equity;W R Grace & Co
ANGO;ANGO UW Equity;AngioDynamics Inc
UVE;UVE UN Equity;Universal Insurance Holdings Inc
WINA;WINA UQ Equity;Winmark Corp
RAD;RAD UN Equity;Rite Aid Corp
KSU;KSU UN Equity;Kansas City Southern
CPGX;CPGX UN Equity;Columbia Pipeline Group Inc
1484752D;1484752D UN Equity;Basic Energy Services Inc
SPNE;SPNE UW Equity;SeaSpine Holdings Corp
1486715D;1486715D US Equity;Battalion Oil Corp
NC;NC UN Equity;NACCO Industries Inc
PSX;PSX UN Equity;Phillips 66
TMX;TMX UN Equity;Terminix Global Holdings Inc
HOSSQ;HOSSQ UN Equity;Hornbeck Offshore Services Inc
FEYE;FEYE UW Equity;FireEye Inc
FUEL;FUEL UW Equity;Rocket Fuel Inc
ADPTQ;ADPTQ UN Equity;Adeptus Health Inc
SCI;SCI UN Equity;Service Corp International/US
MYCC;MYCC UN Equity;ClubCorp Holdings Inc
EPAM;EPAM UN Equity;EPAM Systems Inc
FLTX;FLTX UN Equity;Fleetmatics Group Ltd
TEN;TEN UN Equity;Tenneco Inc
MTX;MTX UN Equity;Minerals Technologies Inc
SCVL;SCVL UW Equity;Shoe Carnival Inc
IT;IT UN Equity;Gartner Inc
ALG;ALG UN Equity;Alamo Group Inc
HR;HR UN Equity;Healthcare Realty Trust Inc
GPRO;GPRO UW Equity;GoPro Inc
VASC;VASC UW Equity;Vascular Solutions LLC
AVX;AVX UN Equity;AVX Corp
AEL;AEL UN Equity;American Equity Investment Life Holding
FL;FL UN Equity;Foot Locker Inc
WBC;WBC UN Equity;WABCO Holdings Inc
CHDN;CHDN UW Equity;Churchill Downs Inc
CWEN/A;CWEN/A UN Equity;Clearway Energy Inc
TCBK;TCBK UW Equity;TriCo Bancshares
BRG;BRG UA Equity;Bluerock Residential Growth REIT Inc
BANF;BANF UW Equity;BancFirst Corp
LBYYQ;LBYYQ UA Equity;Libbey Inc
IQV;IQV UN Equity;IQVIA Holdings Inc
OPI;OPI UN Equity;Office Properties Income Trust
NVRO;NVRO UN Equity;Nevro Corp
BBSI;BBSI UW Equity;Barrett Business Services Inc
CCF;CCF UA Equity;Chase Corp
ACTA;ACTA UW Equity;Actua Corp
CZR;CZR UW Equity;Caesars Entertainment Inc
MDLZ;MDLZ UW Equity;Mondelez International Inc
RYAM;RYAM UN Equity;Rayonier Advanced Materials Inc
MLND;MLND UQ Equity;Millendo Therapeutics Inc
ELS;ELS UN Equity;Equity LifeStyle Properties Inc
THRM;THRM UW Equity;Gentherm Inc
VVI;VVI UN Equity;Viad Corp
CAL;CAL UN Equity;Caleres Inc
PCYG;PCYG UR Equity;Park City Group Inc
COMM;COMM UW Equity;CommScope Holding Co Inc
BFAM;BFAM UN Equity;Bright Horizons Family Solutions Inc
PTXTQ;PTXTQ UQ Equity;Pernix Therapeutics Holdings Inc
BCO;BCO UN Equity;Brink's Co/The
ATEX;ATEX UR Equity;Anterix Inc
SPXC;SPXC UN Equity;SPX Corp
PFC;PFC UW Equity;Premier Financial Corp
TERP;TERP UW Equity;TerraForm Power Inc
BNK;BNK UN Equity;C1 Financial Inc
MIK;MIK UW Equity;Michaels Cos Inc/The
SGM;SGM UN Equity;Stonegate Mortgage Corp
KLXI;KLXI UW Equity;Boeing Distribution Services Inc
CNA;CNA UN Equity;CNA Financial Corp
NEU;NEU UN Equity;NewMarket Corp
NL;NL UN Equity;NL Industries Inc
PARR;PARR UA Equity;Par Pacific Holdings Inc
CWEN;CWEN UN Equity;Clearway Energy Inc
1618448D;1618448D UQ Equity;Alliance HealthCare Services Inc
SRNE;SRNE UR Equity;Sorrento Therapeutics Inc
AERI;AERI UQ Equity;Aerie Pharmaceuticals Inc
USG;USG UN Equity;USG Corp
PKG;PKG UN Equity;Packaging Corp of America
AUB;AUB UW Equity;Atlantic Union Bankshares Corp
CST;CST UN Equity;CST Brands LLC
WNR;WNR UN Equity;Western Refining Inc
AE;AE UA Equity;Adams Resources & Energy Inc
QCRH;QCRH UQ Equity;QCR Holdings Inc
CFMS;CFMS UW Equity;Conformis Inc
CHRS;CHRS UQ Equity;Coherus Biosciences Inc
SIOX;SIOX UN Equity;Sio Gene Therapies Inc
GTY;GTY UN Equity;Getty Realty Corp
INCY;INCY UW Equity;Incyte Corp
SLAB;SLAB UW Equity;Silicon Laboratories Inc
TRUP;TRUP US Equity;Trupanion Inc
NYNY;NYNY UQ Equity;Empire Resorts Inc
WMAR;WMAR UW Equity;West Marine Inc
SRI;SRI UN Equity;Stoneridge Inc
FENX;FENX UQ Equity;Fenix Parts Inc
OSBC;OSBC UW Equity;Old Second Bancorp Inc
NRZ;NRZ UN Equity;New Residential Investment Corp
ALTA;ALTA UR Equity;Altabancorp
SUPN;SUPN UQ Equity;Supernus Pharmaceuticals Inc
PFNX;PFNX UA Equity;Pfenex Inc
FRPT;FRPT UQ Equity;Freshpet Inc
SYNH;SYNH UW Equity;Syneos Health Inc
AMBC;AMBC UW Equity;Ambac Financial Group Inc
CATM;CATM UW Equity;Cardtronics PLC
AEPI;AEPI UW Equity;AEP Industries Inc
HT;HT UN Equity;Hersha Hospitality Trust
RGNX;RGNX UW Equity;REGENXBIO Inc
NRF;NRF UN Equity;NorthStar Realty Finance Corp/old
CLNY;CLNY UN Equity;Colony Capital Inc
FNF;FNF UN Equity;Fidelity National Financial Inc
RELYQ;RELYQ UW Equity;Elah Holdings Inc
TMST;TMST UN Equity;TimkenSteel Corp
BCRX;BCRX UW Equity;BioCryst Pharmaceuticals Inc
PESXQ;PESXQ UN Equity;Pioneer Energy Services Corp
XNCR;XNCR UQ Equity;Xencor Inc
IRT;IRT UA Equity;Independence Realty Trust Inc
BHBK;BHBK UW Equity;Blue Hills Bancorp Inc
SBY;SBY UN Equity;Silver Bay Realty Trust Corp
ONDK;ONDK UN Equity;On Deck Capital Inc
TBK;TBK UW Equity;Triumph Bancorp Inc
LDRH;LDRH UW Equity;LDR Holding Corp
APAM;APAM UN Equity;Artisan Partners Asset Management Inc
PEBO;PEBO UW Equity;Peoples Bancorp Inc/OH
KHC;KHC UW Equity;Kraft Heinz Co/The
TIPT;TIPT UR Equity;Tiptree Inc
REV;REV UN Equity;Revlon Inc
1859992D;1859992D UN Equity;AVG Technologies NV
TSRO;TSRO UW Equity;TESARO Inc
WSR;WSR UN Equity;Whitestone REIT
AR;AR UN Equity;Antero Resources Corp
CXP;CXP UN Equity;Columbia Property Trust Inc
VVUSQ;VVUSQ UW Equity;VIVUS Inc
NNBR;NNBR UW Equity;NN Inc
AMNB;AMNB UW Equity;American National Bankshares Inc
1624831D;1624831D UN Equity;TIAA FSB Holdings Inc
ATLO;ATLO UR Equity;Ames National Corp
ARTNA;ARTNA UW Equity;Artesian Resources Corp
NKTR;NKTR UW Equity;Nektar Therapeutics
CCNE;CCNE UW Equity;CNB Financial Corp/PA
INSYQ;INSYQ UQ Equity;Insys Therapeutics Inc
LKFN;LKFN UW Equity;Lakeland Financial Corp
MGNX;MGNX UW Equity;MacroGenics Inc
GNCA;GNCA UQ Equity;Genocea Biosciences Inc
EGL;EGL UN Equity;Engility Holdings Inc
NKSH;NKSH UR Equity;National Bankshares Inc
MPAA;MPAA UW Equity;Motorcar Parts of America Inc
FDC;FDC UN Equity;First Data Corp
BCOR;BCOR UW Equity;Blucora Inc
1469138D;1469138D UN Equity;Envision Healthcare Holdings Inc
BDGE;BDGE UW Equity;Bridge Bancorp Inc
GHM;GHM UN Equity;Graham Corp
CCBG;CCBG UW Equity;Capital City Bank Group Inc
MNST;MNST UW Equity;Monster Beverage Corp
WPG;WPG UN Equity;Washington Prime Group Inc
WING;WING UW Equity;Wingstop Inc
SGBK;SGBK UW Equity;Stonegate Bank
STML;STML UR Equity;Stemline Therapeutics Inc
BMRC;BMRC UR Equity;Bank of Marin Bancorp
SZMK;SZMK UW Equity;Sizmek Inc
MDVN;MDVN UW Equity;Medivation Inc
TLYS;TLYS UN Equity;Tilly's Inc
ALEX;ALEX UN Equity;Alexander & Baldwin Inc
BRX;BRX UN Equity;Brixmor Property Group Inc
FCS;FCS UW Equity;Fairchild Semiconductor International In
SCAI;SCAI UW Equity;Surgical Care Affiliates Inc
SYNT;SYNT UW Equity;Atos Syntel Inc
VTOL;VTOL UN Equity;Bristow Group Inc
ABCB;ABCB UW Equity;Ameris Bancorp
PENN;PENN UW Equity;Penn National Gaming Inc
TPRE;TPRE UN Equity;Third Point Reinsurance Ltd
RKDA;RKDA UQ Equity;Arcadia Biosciences Inc
ARIA;ARIA UW Equity;ARIAD Pharmaceuticals Inc
GBX;GBX UN Equity;Greenbrier Cos Inc/The
MLR;MLR UN Equity;Miller Industries Inc/TN
BLCM;BLCM UQ Equity;Bellicum Pharmaceuticals Inc
RVNC;RVNC UQ Equity;Revance Therapeutics Inc
ZEUS;ZEUS UW Equity;Olympic Steel Inc
FRGI;FRGI UW Equity;Fiesta Restaurant Group Inc
LNG;LNG UA Equity;Cheniere Energy Inc
AZPN;AZPN UW Equity;Aspen Technology Inc
DXPE;DXPE UW Equity;DXP Enterprises Inc/TX
HEOP;HEOP UR Equity;Heritage Oaks Bancorp
NK;NK UW Equity;NantKwest Inc
STRT;STRT UQ Equity;Strattec Security Corp
PLPC;PLPC UW Equity;Preformed Line Products Co
IBKC;IBKC UW Equity;IBERIABANK Corp
MBFI;MBFI UW Equity;MB Financial Inc
VRTV;VRTV UN Equity;Veritiv Corp
CVLG;CVLG UW Equity;Covenant Logistics Group Inc
SASR;SASR UW Equity;Sandy Spring Bancorp Inc
GBL;GBL UN Equity;GAMCO Investors Inc
ERINQ;ERINQ UA Equity;Erin Energy Corp
TRK;TRK UN Equity;Speedway Motorsports LLC
SBGI;SBGI UW Equity;Sinclair Broadcast Group Inc
VCYT;VCYT UQ Equity;Veracyte Inc
BHB;BHB UA Equity;Bar Harbor Bankshares
NVEC;NVEC UR Equity;NVE Corp
CBZ;CBZ UN Equity;CBIZ Inc
AIR;AIR UN Equity;AAR Corp
SYX;SYX UN Equity;Systemax Inc
APLE;APLE UN Equity;Apple Hospitality REIT Inc
KRNY;KRNY UW Equity;Kearny Financial Corp/MD
CRAY;CRAY UW Equity;Cray Inc
PWOD;PWOD UW Equity;Penns Woods Bancorp Inc
BANR;BANR UW Equity;Banner Corp
NWPX;NWPX UW Equity;Northwest Pipe Co
SIX;SIX UN Equity;Six Flags Entertainment Corp
POR;POR UN Equity;Portland General Electric Co
YORW;YORW UW Equity;York Water Co/The
CMCO;CMCO UW Equity;Columbus McKinnon Corp/NY
LNDC;LNDC UW Equity;Landec Corp
ELNK;ELNK UW Equity;EarthLink Holdings Corp
IDT;IDT UN Equity;IDT Corp
CASS;CASS UW Equity;Cass Information Systems Inc
KVHI;KVHI UW Equity;KVH Industries Inc
EXAC;EXAC UW Equity;Exactech Inc
NBIX;NBIX UW Equity;Neurocrine Biosciences Inc
RUSHA;RUSHA UW Equity;Rush Enterprises Inc
DECK;DECK UN Equity;Deckers Outdoor Corp
PLKI;PLKI UW Equity;Popeyes Louisiana Kitchen Inc
GWR;GWR UN Equity;Genesee & Wyoming Inc
FFG;FFG UN Equity;FBL Financial Group Inc
AFHIF;AFHIF UR Equity;Atlas Financial Holdings Inc
PEGA;PEGA UW Equity;Pegasystems Inc
CZNC;CZNC UR Equity;Citizens & Northern Corp
AIT;AIT UN Equity;Applied Industrial Technologies Inc
DHIL;DHIL UW Equity;Diamond Hill Investment Group Inc
PNTPQ;PNTPQ UN Equity;Patriot National Inc
ASC;ASC UN Equity;Ardmore Shipping Corp
SFM;SFM UW Equity;Sprouts Farmers Market Inc
NOVT;NOVT UW Equity;Novanta Inc
TPH;TPH UN Equity;TRI Pointe Group Inc
AJG;AJG UN Equity;Arthur J Gallagher & Co
SYKE;SYKE UW Equity;Sykes Enterprises Inc
RPAI;RPAI UN Equity;Retail Properties of America Inc
TVTX;TVTX UQ Equity;Travere Therapeutics Inc
JUNO;JUNO UW Equity;Juno Therapeutics Inc
LIVN;LIVN UW Equity;LivaNova PLC
FTDCQ;FTDCQ UW Equity;Gue Liq Cos Inc
ESNT;ESNT UN Equity;Essent Group Ltd
LXFT;LXFT UN Equity;Luxoft Holding Inc
AKRXQ;AKRXQ UW Equity;Akorn Inc
UVSP;UVSP UW Equity;Univest Financial Corp
NSA;NSA UN Equity;National Storage Affiliates Trust
NTRA;NTRA UW Equity;Natera Inc
GDDY;GDDY UN Equity;GoDaddy Inc
MMI;MMI UN Equity;Marcus & Millichap Inc
FFIC;FFIC UW Equity;Flushing Financial Corp
ALCO;ALCO UW Equity;Alico Inc
PEIX;PEIX UR Equity;Alto Ingredients Inc
MATX;MATX UN Equity;Matson Inc
IPXL;IPXL UW Equity;Impax Laboratories LLC
RDEN;RDEN UW Equity;Elizabeth Arden Inc
MGNI;MGNI UN Equity;Magnite Inc
TSQ;TSQ UN Equity;Townsquare Media Inc
EPM;EPM UA Equity;Evolution Petroleum Corp
OLED;OLED UW Equity;Universal Display Corp
HTLF;HTLF UW Equity;Heartland Financial USA Inc
BSF;BSF UQ Equity;Bear State Financial Inc
VER;VER UN Equity;VEREIT Inc
XENT;XENT UQ Equity;Intersect ENT Inc
OPCH;OPCH UW Equity;Option Care Health Inc
IMDZ;IMDZ UQ Equity;Immune Design Corp
ALK;ALK UN Equity;Alaska Air Group Inc
MTN;MTN UN Equity;Vail Resorts Inc
GERN;GERN UW Equity;Geron Corp
FNLC;FNLC UW Equity;First Bancorp Inc/The
HOLX;HOLX UW Equity;Hologic Inc
GPK;GPK UN Equity;Graphic Packaging Holding Co
FDP;FDP UN Equity;Fresh Del Monte Produce Inc
CSV;CSV UN Equity;Carriage Services Inc
ANIK;ANIK UW Equity;Anika Therapeutics Inc
PLUS;PLUS UW Equity;ePlus Inc
OCN;OCN UN Equity;Ocwen Financial Corp
NUS;NUS UN Equity;Nu Skin Enterprises Inc
HLIO;HLIO UW Equity;Helios Technologies Inc
SPPI;SPPI UW Equity;Spectrum Pharmaceuticals Inc
FIBK;FIBK UW Equity;First Interstate BancSystem Inc
BSRR;BSRR UW Equity;Sierra Bancorp
PGNX;PGNX UW Equity;Progenics Pharmaceuticals Inc
SWBI;SWBI UW Equity;Smith & Wesson Brands Inc
VTVT;VTVT UQ Equity;vTv Therapeutics Inc
EEFT;EEFT UW Equity;Euronet Worldwide Inc
LTS;LTS UA Equity;Ladenburg Thalmann Financial Services In
SSB;SSB UW Equity;South State Corp
HCKT;HCKT UW Equity;Hackett Group Inc/The
PRIM;PRIM UW Equity;Primoris Services Corp
1872828D;1872828D UW Equity;Assertio Therapeutics Inc
EMKR;EMKR UQ Equity;EMCORE Corp
RMBS;RMBS UW Equity;Rambus Inc
HSKA;HSKA UR Equity;Heska Corp
COLM;COLM UW Equity;Columbia Sportswear Co
HOFT;HOFT UW Equity;Hooker Furniture Corp
GLFMQ;GLFMQ UN Equity;Gulfmark Offshore Inc
QADA;QADA UW Equity;QAD Inc
CRZO;CRZO UW Equity;Carrizo Oil & Gas Inc
OSIR;OSIR UQ Equity;Osiris Therapeutics Inc
ALOG;ALOG UW Equity;Analogic Corp
PDM;PDM UN Equity;Piedmont Office Realty Trust Inc
UNIT;UNIT UW Equity;Uniti Group Inc
PCBK;PCBK UW Equity;Pacific Continental Corp
RNWK;RNWK UW Equity;RealNetworks Inc
CSU;CSU UN Equity;Capital Senior Living Corp
CWST;CWST UW Equity;Casella Waste Systems Inc
PSMT;PSMT UW Equity;PriceSmart Inc
MBWM;MBWM UW Equity;Mercantile Bank Corp
RHP;RHP UN Equity;Ryman Hospitality Properties Inc
IGT;IGT UN Equity;International Game Technology PLC
CHH;CHH UN Equity;Choice Hotels International Inc
AMCC;AMCC UW Equity;Applied Micro Circuits Corp
BKFS;BKFS UN Equity;Black Knight Financial Services Inc
ATSG;ATSG UW Equity;Air Transport Services Group Inc
WCC;WCC UN Equity;WESCO International Inc
CNXN;CNXN UW Equity;PC Connection Inc
WMC;WMC UN Equity;Western Asset Mortgage Capital Corp
SCS;SCS UN Equity;Steelcase Inc
NUTR;NUTR UW Equity;Nutraceutical International Corp
SAAS;SAAS UR Equity;inContact Inc
WAGE;WAGE UN Equity;WageWorks Inc
NHC;NHC UA Equity;National HealthCare Corp
HFWA;HFWA UW Equity;Heritage Financial Corp/WA
RMTI;RMTI UQ Equity;Rockwell Medical Inc
OME;OME UN Equity;Omega Protein Corp
NVAX;NVAX UW Equity;Novavax Inc
CRAI;CRAI UW Equity;CRA International Inc
ULTI;ULTI UW Equity;Ultimate Software Group Inc/The
OSPN;OSPN UR Equity;OneSpan Inc
PFBC;PFBC UW Equity;Preferred Bank/Los Angeles CA
SP;SP UW Equity;SP Plus Corp
IXYS;IXYS UW Equity;IXYS Corp
CSGP;CSGP UW Equity;CoStar Group Inc
STL;STL UN Equity;Sterling Bancorp/DE
FNHC;FNHC UQ Equity;FedNat Holding Co
TWI;TWI UN Equity;Titan International Inc
AXL;AXL UN Equity;American Axle & Manufacturing Holdings I
TCS;TCS UN Equity;Container Store Group Inc/The
EGBN;EGBN UR Equity;Eagle Bancorp Inc
KODK;KODK UN Equity;Eastman Kodak Co
PFIS;PFIS UW Equity;Peoples Financial Services Corp
CFNL;CFNL UW Equity;Cardinal Financial Corp
ALX;ALX UN Equity;Alexander's Inc
HTBK;HTBK UW Equity;Heritage Commerce Corp
RBCAA;RBCAA UW Equity;Republic Bancorp Inc/KY
CFX;CFX UN Equity;Colfax Corp
UCFC;UCFC UW Equity;United Community Financial Corp/OH
COBZ;COBZ UW Equity;CoBiz Financial Inc
FET;FET UN Equity;Forum Energy Technologies Inc
MRC;MRC UN Equity;MRC Global Inc
QUAD;QUAD UN Equity;Quad/Graphics Inc
QUOT;QUOT UN Equity;Quotient Technology Inc
PBYI;PBYI UN Equity;Puma Biotechnology Inc
1437361D;1437361D UW Equity;TiVo Solutions Inc
MORN;MORN UW Equity;Morningstar Inc
CFFN;CFFN UW Equity;Capitol Federal Financial Inc
SYUT;SYUT UW Equity;Synutra International Inc
AGO;AGO UN Equity;Assured Guaranty Ltd
EXTR;EXTR UW Equity;Extreme Networks Inc
SRGA;SRGA UW Equity;Surgalign Holdings Inc
EVRI;EVRI UN Equity;Everi Holdings Inc
EVR;EVR UN Equity;Evercore Inc
OB;OB UN Equity;OneBeacon Insurance Group Holdings Ltd
SNMX;SNMX UQ Equity;Senomyx Inc
FISI;FISI UW Equity;Financial Institutions Inc
EGOV;EGOV UW Equity;NIC Inc
IMMR;IMMR UW Equity;Immersion Corp
SFLY;SFLY UW Equity;Shutterfly LLC
ARC;ARC UN Equity;ARC Document Solutions Inc
MOFG;MOFG UW Equity;MidWestOne Financial Group Inc
HSTM;HSTM UW Equity;HealthStream Inc
MESG;MESG UQ Equity;Xura Inc
OMF;OMF UN Equity;OneMain Holdings Inc
BSFT;BSFT UW Equity;BroadSoft Inc
VEEV;VEEV UN Equity;Veeva Systems Inc
DNOW;DNOW UN Equity;NOW Inc
KTOS;KTOS UW Equity;Kratos Defense & Security Solutions Inc
PLUG;PLUG UR Equity;Plug Power Inc
ADXS;ADXS UR Equity;Advaxis Inc
